"lang" 
{
	"Language" "tchinese" 
	
	"Tokens" 
	{ 
		"YouTube_LoggingIn"				"登入至 YouTube™"
		"YouTube_Uploading"				"上傳影片至 YouTube™"
		"YouTube_UploadProgress"		"%s1% - [ %s2 / %s3 kB ]"
		"YouTube_UploadFinishing1"		"完成上傳中"
		"YouTube_UploadFinishing2"		"完成上傳中."
		"YouTube_UploadFinishing3"		"完成上傳中.."
		"YouTube_UploadFinishing4"		"完成上傳中..."
		"YouTube_FileAlreadyUploaded"	"這部影片已經被上傳。您確定要再上傳它一次嗎？"

		"YouTube_LoginResults_Title"	"登入失敗"
		"YouTube_LoginResults_CouldNotConnect"	"請檢查網路連線設定；或如果您使用 http 代理伺服器的話，請設定 youtube_http_proxy 指令。完成後請再試一次。"
		"YouTube_LoginResults_Forbidden"	"請確認您的帳戶名稱和密碼是正確的，並再試一次。您也許需要停用雙重驗證功能。"
		"YouTube_LoginResults_Failure"	"請檢查您的網路連線設定並再試一次。"
		"YouTube_LoginResults_Cancel"	"取消登入。如果有問題的話，請檢查網路連線設定；或如果您使用 http 代理伺服器的話，請設定 youtube_http_proxy 指令。完成後請再試一次。"

		"YouTube_LoginDlg_Title"		"登入至 YouTube™"
		"YouTube_LoginDlg_UserName"		"帳戶名稱"
		"YouTube_LoginDlg_Password"		"密碼"
		"YouTube_LoginDlg_Register"		"註冊"
		"YouTube_LoginDlg_Login"		"登入"

		"YouTube_Upload_Title"			"YouTube™ 上傳"
		"YouTube_Upload_MissingFile"	"因為找不到影片檔案，所以無法上傳至 YouTube™。"
		"YouTube_Upload_Success"		"影片已成功上傳至 YouTube™！"
		"YouTube_Upload_Failure"		"上傳影片時發生問題。請檢查您的網路連線設定，然後再試一次。另外，請確認您的 YouTube™ 帳戶是否和您的 Google 帳戶連結，並透過 http://youtube.com/create_channel 建立頻道。"
		"YouTube_Upload_InvalidChars_Title" "請勿於標題中使用「<」、「>」、「&」等符號。"
		"YouTube_Upload_InvalidChars_Desc" "請勿於敘述中使用「<」、「>」、「&」等符號。"
		"YouTube_Upload_MovieIsRaw"		"本重播檔沒有關聯影片檔，因為先前是以「匯出原始 TGA/WAV」選項匯出的。"

		"YouTube_UploadDlg_Title"		"YouTube™ 上傳"
		"YouTube_UploadDlg_MovieTitle"	"標題"
		"YouTube_UploadDlg_MovieDesc"	"說明"
		"YouTube_UploadDlg_Disclaimer"	"點擊「上傳」後，您將上傳影片至您的 YouTube™ 頻道。請確認您影片都符合 YouTube™ 的服務條款。"
		"YouTube_UploadDlg_Terms"		"YouTube™ 使用條款"
		"YouTube_UploadDlg_Upload"		"上傳"
		"YouTube_UploadDlg_Unlisted"		"未公開（其他使用者需要知道網址以觀看此影片）"
		"YouTube_UploadDlg_SaxxyAwardsSubmission"		"提交影片，角逐 2012 薩氏金像獎"

		"YouTube_Stats"					"%s2 觀看次數\n%s3 次喜歡\n%s1 個人加入最愛"
		"YouTube_PrivateVideo"			"YouTube™ 影片被設定為私人。"
		"YouTube_NoStats"				"無"
		"YouTube_CouldNotRetrieveStats"	"找不到"
		"YouTube_EmailSubject"		"觀看我超讚的《絕地要塞 2》影片！"
	}
}
